Group,Test,Test_Description,Last_Digit,TOTAL,PERCENT_CORRECT_1,PERCENT_CORRECT_2
gpt-0,0_0,Plain,1,300,46.0,43.0
gpt-0,0_0,Plain,2,300,50.33333333333333,42.66666666666667
gpt-0,0_0,Plain,3,350,45.42857142857143,33.42857142857143
gpt-0,0_0,Plain,4,350,49.42857142857143,33.714285714285715
gpt-0,0_0,Plain,5,279,48.74551971326165,26.523297491039425
gpt-0,0_0,Plain,6,50,44.0,26.0
gpt-0,0_0,Plain,7,50,48.0,26.0
gpt-0,0_0,Plain,8,50,42.0,32.0
gpt-0,0_0,Plain,9,50,48.0,26.0
gpt-0,1_1,CoT - silent,1,302,38.741721854304636,37.086092715231786
gpt-0,1_1,CoT - silent,2,292,31.84931506849315,28.424657534246577
gpt-0,1_1,CoT - silent,3,50,50.0,46.0
gpt-0,1_1,CoT - silent,4,50,28.000000000000004,16.0
gpt-0,1_1,CoT - silent,5,50,46.0,34.0
gpt-0,1_1,CoT - silent,6,50,46.0,22.0
gpt-0,1_1,CoT - silent,7,50,34.0,24.0
gpt-0,1_1,CoT - silent,8,50,48.0,28.000000000000004
gpt-0,1_1,CoT - silent,9,50,50.0,32.0
gpt-0,2_2,CoT,1,2,50.0,50.0
gpt-0,2_2,CoT,2,50,76.0,44.0
gpt-0,2_2,CoT,3,50,76.0,26.0
gpt-0,2_2,CoT,4,50,88.0,10.0
gpt-0,2_2,CoT,5,43,95.34883720930233,16.27906976744186
gpt-0,2_2,CoT,6,40,90.0,7.5
gpt-0,2_2,CoT,7,40,87.5,7.5
gpt-0,2_2,CoT,8,50,88.0,4.0
gpt-0,2_2,CoT,9,50,94.0,10.0
gpt-0,3_3,Counter,1,2,100.0,100.0
gpt-0,3_3,Counter,1,150,57.99999999999999,57.333333333333336
gpt-0,3_3,Counter,2,150,56.00000000000001,54.0
gpt-0,3_3,Counter,3,150,53.333333333333336,48.66666666666667
gpt-0,3_3,Counter,4,150,45.33333333333333,39.33333333333333
gpt-0,3_3,Counter,5,150,53.333333333333336,50.0
gpt-0,3_3,Counter,6,150,54.666666666666664,47.333333333333336
gpt-0,3_3,Counter,7,150,46.0,42.66666666666667
gpt-0,3_3,Counter,8,50,54.0,50.0
gpt-0,3_3,Counter,9,50,48.0,44.0
gpt-0,4_4,Expl,1,8,62.5,62.5
gpt-0,4_4,Expl,1,150,70.0,68.0
gpt-0,4_4,Expl,2,150,62.0,42.66666666666667
gpt-0,4_4,Expl,3,150,69.33333333333334,23.333333333333332
gpt-0,4_4,Expl,4,150,67.33333333333333,18.666666666666668
gpt-0,4_4,Expl,5,150,71.33333333333334,18.666666666666668
gpt-0,4_4,Expl,6,150,66.0,10.0
gpt-0,4_4,Expl,7,150,67.33333333333333,8.0
gpt-0,4_4,Expl,8,50,76.0,4.0
gpt-0,4_4,Expl,9,50,82.0,10.0
gpt-0,5_5,FS,1,4,100.0,100.0
gpt-0,5_5,FS,1,150,72.0,69.33333333333334
gpt-0,5_5,FS,2,150,68.66666666666667,61.33333333333333
gpt-0,5_5,FS,3,150,55.333333333333336,48.0
gpt-0,5_5,FS,4,150,54.0,40.666666666666664
gpt-0,5_5,FS,5,150,47.333333333333336,39.33333333333333
gpt-0,5_5,FS,6,150,44.0,35.333333333333336
gpt-0,5_5,FS,7,150,32.666666666666664,22.0
gpt-0,5_5,FS,8,50,40.0,24.0
gpt-0,5_5,FS,9,50,36.0,22.0
gpt-0,6_6,Money,1,40,45.0,45.0
gpt-0,6_6,Money,2,40,42.5,35.0
gpt-0,6_6,Money,3,40,45.0,45.0
gpt-0,6_6,Money,4,40,40.0,37.5
gpt-0,6_6,Money,5,40,55.00000000000001,45.0
gpt-0,6_6,Money,6,40,60.0,57.49999999999999
gpt-0,6_6,Money,7,40,47.5,37.5
gpt-0,6_6,Money,8,40,50.0,42.5
gpt-0,6_6,Money,9,40,65.0,52.5
